scenario_id,Fixed_Pct_TD,Remove_Wildfire,ROE_Reduction,fixed_monthly_care,fixed_monthly_non_care,Scaling,Vol_Avg,Total_Revenue,summer_peak,summer_offpeak,winter_peak,winter_offpeak,rate_type,source_scenario,ev_super_offpeak,ev_on_peak,export_regime,eec_multiplier,notes,summer_midpeak,winter_midpeak
F75_WF0_ROE0,75.0,False,0.0,33.7792,136.2065,0.6153,0.2888,17238106734.3314,0.3627,0.287,0.2859,0.2674,designed_tou,F75_WF0_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF0_ROE0.5,75.0,False,0.5,33.3149,134.3343,0.6156,0.289,17145592050.2145,0.3629,0.2872,0.286,0.2676,designed_tou,F75_WF0_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF0_ROE1.0,75.0,False,1.0,32.8537,132.4745,0.616,0.2892,17053077366.0976,0.3631,0.2873,0.2862,0.2677,designed_tou,F75_WF0_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF0_ROE1.5,75.0,False,1.5,32.3955,130.6269,0.6163,0.2893,16960562681.9807,0.3633,0.2875,0.2863,0.2678,designed_tou,F75_WF0_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF1_ROE0,75.0,True,0.0,14.2256,57.3615,0.5949,0.2793,12658248893.993,0.3506,0.2775,0.2764,0.2585,designed_tou,F75_WF1_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF1_ROE0.5,75.0,True,0.5,13.9143,56.1059,0.5935,0.2786,12565734209.8761,0.3498,0.2768,0.2757,0.2579,designed_tou,F75_WF1_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF1_ROE1.0,75.0,True,1.0,13.6059,54.8626,0.5921,0.278,12473219525.7592,0.349,0.2762,0.2751,0.2573,designed_tou,F75_WF1_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F75_WF1_ROE1.5,75.0,True,1.5,13.3007,53.6317,0.5907,0.2773,12380704841.6423,0.3482,0.2755,0.2744,0.2567,designed_tou,F75_WF1_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF0_ROE0,100.0,False,0.0,45.039,181.6087,0.487,0.2286,17238106734.3314,0.2871,0.2272,0.2263,0.2117,designed_tou,F100_WF0_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF0_ROE0.5,100.0,False,0.5,44.4199,179.1124,0.4892,0.2296,17145592050.2145,0.2883,0.2282,0.2273,0.2126,designed_tou,F100_WF0_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF0_ROE1.0,100.0,False,1.0,43.8049,176.6326,0.4913,0.2306,17053077366.0976,0.2896,0.2291,0.2282,0.2135,designed_tou,F100_WF0_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF0_ROE1.5,100.0,False,1.5,43.194,174.1693,0.4933,0.2316,16960562681.9807,0.2908,0.2301,0.2292,0.2144,designed_tou,F100_WF0_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF1_ROE0,100.0,True,0.0,18.9675,76.4819,0.5409,0.2539,12658248893.993,0.3188,0.2523,0.2513,0.2351,designed_tou,F100_WF1_ROE0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF1_ROE0.5,100.0,True,0.5,18.5523,74.8078,0.5407,0.2538,12565734209.8761,0.3187,0.2522,0.2512,0.235,designed_tou,F100_WF1_ROE0.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF1_ROE1.0,100.0,True,1.0,18.1412,73.1502,0.5405,0.2537,12473219525.7592,0.3186,0.2521,0.2511,0.2349,designed_tou,F100_WF1_ROE1.0,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
F100_WF1_ROE1.5,100.0,True,1.5,17.7342,71.5089,0.5402,0.2536,12380704841.6423,0.3184,0.252,0.251,0.2348,designed_tou,F100_WF1_ROE1.5,,,nbt_hourly,1.0,Designed scenario from parent rate_designer; unmodified,,
EV_TOU_PGE,,,,0.0,0.0,,,,0.4534727397260274,0.22558,0.4534727397260274,0.22558,ev_submetered_tou,pge_EV2-A,0.22558,0.4534727397260274,nbt_hourly,1.0,"EV2-A blended workday/weekend, summer/winter at day-of-year shares; volumetric only, BSC excluded. Use ev_tou_schedules.effective_price_under_profile() for high-fidelity per-(season, day) lookups.",,
EXPORT_NBT_HOURLY,,,,,,,,,,,,,export_overlay,any,,,nbt_hourly,1.0,Status quo NBT for new interconnections (post 4/15/2023),,
EXPORT_NBT_SCALED_125,,,,,,,,,,,,,export_overlay,any,,,nbt_scaled_125,1.25,"Sensitivity: CPUC softens NBT, hourly EEC x 1.25",,
EXPORT_NBT_SCALED_150,,,,,,,,,,,,,export_overlay,any,,,nbt_scaled_150,1.5,"Sensitivity: CPUC softens NBT, hourly EEC x 1.50",,
