scenario_id,rate_type,source_scenario,fixed_monthly_dollars,demand_charge_per_kw_mo,peak_window,summer_peak,summer_midpeak,summer_offpeak,winter_peak,winter_midpeak,winter_offpeak,ev_super_offpeak,ev_on_peak,export_regime,notes
F75_WF1_ROE1.5,designed_tou,F75_WF1_ROE1.5,7875.94,0.0,,0.3741,0.3286,0.2806,0.3626,0.3236,0.3123,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF0_ROE0,designed_tou,F100_WF0_ROE0,16995.87,0.0,,0.2965,0.2604,0.2224,0.2874,0.2564,0.2475,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF0_ROE0.5,designed_tou,F100_WF0_ROE0.5,16477.77,0.0,,0.2988,0.2624,0.2241,0.2896,0.2585,0.2494,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF0_ROE1.0,designed_tou,F100_WF0_ROE1.0,15969.93,0.0,,0.301,0.2644,0.2258,0.2918,0.2604,0.2513,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF0_ROE1.5,designed_tou,F100_WF0_ROE1.5,15472.25,0.0,,0.3032,0.2663,0.2274,0.2939,0.2623,0.2531,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF1_ROE0,designed_tou,F100_WF1_ROE0,11694.34,0.0,,0.3163,0.2779,0.2373,0.3066,0.2736,0.2641,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF1_ROE0.5,designed_tou,F100_WF1_ROE0.5,11287.56,0.0,,0.3178,0.2792,0.2384,0.3081,0.2749,0.2653,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF1_ROE1.0,designed_tou,F100_WF1_ROE1.0,10889.9,0.0,,0.3193,0.2804,0.2395,0.3095,0.2762,0.2665,,,nbt_hourly,"Existing designed scenario, unchanged"
F100_WF1_ROE1.5,designed_tou,F100_WF1_ROE1.5,10501.25,0.0,,0.3207,0.2816,0.2405,0.3108,0.2774,0.2677,,,nbt_hourly,"Existing designed scenario, unchanged"
DC_5,demand_charge,F0_WF0_ROE0,0.0,5.0,monthly_max,0.5299210710124078,0.46544734070589827,0.3974408032593059,0.5136701581680274,0.4583817264257328,0.44230745393835647,,,nbt_hourly,DC = $5.0/kW-mo; volumetric scaled x0.883 for revenue neutrality
DC_15,demand_charge,F0_WF0_ROE0,0.0,15.0,monthly_max,0.38976321303722355,0.3423420221176947,0.2923224097779177,0.37781047450408206,0.3371451792771984,0.3253223618150693,,,nbt_hourly,DC = $15.0/kW-mo; volumetric scaled x0.650 for revenue neutrality
EV_TOU,ev_submetered_tou,PGE_EV2A_proxy,0.0,0.0,16:00-21:00,0.55,0.36,0.18,0.49,0.34,0.18,0.18,0.55,nbt_hourly,EV submetered tariff. Applies to EV load only; rest of household billed on base rate.
EXPORT_NBT_HOURLY,export_overlay,any,,,,,,,,,,,,nbt_hourly,Default for new interconnections (post 4/15/2023)
EXPORT_NEM2_RETAIL,export_overlay,any,,,,,,,,,,,,nem2_retail,Grandfathered NEM 2.0 customers - full retail
EXPORT_FLAT_5C,export_overlay,any,,,,,,,,,,,,flat_5c,Counterfactual: NBT lowered to $0.05/kWh flat
EXPORT_FLAT_15C,export_overlay,any,,,,,,,,,,,,flat_15c,Counterfactual: NBT raised to $0.15/kWh flat
